YEAR,TRI_FACILI,FRS_ID,FACILITY_N,STREET_ADD,CITY,COUNTY,ST,ZIP,LATITUDE,LONGITUDE,PRIMARY_NA,CHEMICAL,CAS_#/COMP,CLEAR_AIR_,CLASSIFICA,METAL,CARCINOGEN,FORM_TYPE,UNIT_OF_ME,5.1_FUGITI,5.2_STACK_,5.3_WATER,ON-SITE_RE
2016,00617PRCSNTMASD,1.10025E+11,ADM ALLIANCE NUTRITION OF PUERTO RICO LLC,TOMAS DAVILA ST EDIF 10  PALMAS ALTAS INDUSTRIAL P,BARCELONETA,BARCELONETA,PR,617,18.452756,-66.540381,311119,COPPER COMPOUNDS,N100,NO,TRI,YES,NO,R,Pounds,0,0.05,0,0.05
2016,00617PRCSNTMASD,1.10025E+11,ADM ALLIANCE NUTRITION OF PUERTO RICO LLC,TOMAS DAVILA ST EDIF 10  PALMAS ALTAS INDUSTRIAL P,BARCELONETA,BARCELONETA,PR,617,18.452756,-66.540381,311119,CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),N090,YES,TRI,YES,NO,A,Pounds,0,0,0,0
2016,00617PRCSNTMASD,1.10025E+11,ADM ALLIANCE NUTRITION OF PUERTO RICO LLC,TOMAS DAVILA ST EDIF 10  PALMAS ALTAS INDUSTRIAL P,BARCELONETA,BARCELONETA,PR,617,18.452756,-66.540381,311119,ZINC COMPOUNDS,N982,NO,TRI,YES,NO,R,Pounds,0,0.12,0,0.12
2016,00701DPNTGHIGHW,1.10008E+11,DUPONT AGRICULTURAL CARIBE INDUSTRIES LTD,"P.R. RD NO. 686, KM. 2.3",MANATI,MANATI,PR,674,18.451004,-66.470899,325320,CERTAIN GLYCOL ETHERS,N230,YES,TRI,NO,NO,R,Pounds,0,0,0,0
2016,00701DPNTLHIGHW,1.10001E+11,DU PONT ELECTRONICS MICROCIRCU ITS INDUSTRIES LTD,HWY 686 KM 2.3,MANATI,MANATI,PR,674,18.4501,-66.4739,334413,NITRATE COMPOUNDS,N511,NO,TRI,NO,NO,R,Pounds,0,0,0,0
2016,00709CRVCRCALLE,1.1E+11,COMPANIA CERVECERA DE PUERTO RICO INC,BLVD ALFONZO VALDEZ #100,MAYAGUEZ,MAYAGUEZ,PR,680,18.206944,-67.141667,312120,NITRATE COMPOUNDS,N511,NO,TRI,NO,NO,R,Pounds,0,0,0,0
2016,00619HRRSD15CST,1.10008E+11,HARRIS PAINTS CORP,"25 C STREET, MINILLAS INDUSTRIAL PARK, BAYAMON, PR",BAYAMON,BAYAMON,PR,959,18.392783,-66.164396,325510,LEAD COMPOUNDS,N420,YES,PBT,YES,NO,R,Pounds,0,0,0,0
2016,00610CRBGNCARR4,1.10001E+11,CARIBE GE INTERNATIONAL OF PR LLC,STATE RD 402 KM 1.5 INDUSTRIAL ZONE,ANASCO,ANASCO,PR,610,18.292442,-67.140194,335313,LEAD,7439921,YES,PBT,YES,YES,R,Pounds,0,0.2,0,0.2
2016,00731PRLSSFIRMD,1.10007E+11,PEERLESS OIL & CHEMICALS INC,"HWY 127, KM.17.1",PENUELAS,PENUELAS,PR,624,17.9925,-66.746391,424710,TOLUENE,108883,YES,TRI,NO,NO,R,Pounds,1221,3974,0,5195
2016,00759BRCWDCARR8,1.1E+11,BORICUA WOOD PROCESSING INC,CARR 865 KM 5.5,TOA BAJA,TOA BAJA,PR,949,18.415648,-66.202659,321114,CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),N090,YES,TRI,YES,NO,A,Pounds,0,0,0,0
2016,00692CRBGNSTATE,1.10042E+11,GE INDUSTRIAL OF PR LLC,STATE RD # 2 KM. 30.1,VEGA ALTA,VEGA ALTA,PR,692,18.413411,-66.317971,335314,COPPER,7440508,NO,TRI,YES,NO,R,Pounds,5,5,5,15
2016,00965PCKGNAMELI,1.10016E+11,WESTROCK-PUERTO RICO INC,AMELIA IND US TRIAL PARK 47 AMELIA ST,GUAYNABO,GUAYNABO,PR,968,18.41943,-66.11104,322211,"BENZO(G,H,I)PERYLENE",191242,YES,PBT,NO,YES,R,Pounds,0,0.000462,0,0.000462
2016,00767YBCSNROUTE,1.10001E+11,BUCKEYE CARIBBEAN TERMINALS LLC (FORMER SCYI),RT 901 KM 2.7 CAMINO NUEVO WARD,YABUCOA,YABUCOA,PR,767,18.046899,-65.85116,493110,NAPHTHALENE,91203,YES,TRI,NO,NO,R,Pounds,11.72,7.2,0,18.92
2016,00608DCRBNRD3KM,1.10002E+11,IDI CARIBE INC,PR3 KM 151.8 AGUIRRE,SALINAS,SALINAS,PR,751,18.01,-66.25,325991,STYRENE,100425,YES,TRI,NO,YES,R,Pounds,764,14004,0,14768
2016,00642CNGRNROUTE,1.10008E+11,CONGAR INTERNATIONAL CORP TOBACCO THRESHING,RT 778,COMERIO,COMERIO,PR,782,18.212691,-66.232559,312230,"BENZO(G,H,I)PERYLENE",191242,YES,PBT,NO,YES,R,Pounds,0,0,0,0
2016,00701DPNTGHIGHW,1.10008E+11,DUPONT AGRICULTURAL CARIBE INDUSTRIES LTD,"P.R. RD NO. 686, KM. 2.3",MANATI,MANATI,PR,674,18.451004,-66.470899,325320,ETHYLBENZENE,100414,YES,TRI,NO,NO,R,Pounds,847,52,0,899
2016,00701DPNTGHIGHW,1.10008E+11,DUPONT AGRICULTURAL CARIBE INDUSTRIES LTD,"P.R. RD NO. 686, KM. 2.3",MANATI,MANATI,PR,674,18.451004,-66.470899,325320,FORMALDEHYDE,50000,YES,TRI,NO,YES,R,Pounds,4.44,16.4,0,20.84
2016,00785CHMSRRD3KM,1.10008E+11,TAPI PUERTO RICO INC,RD #3 KM. 143.0 JOBOS WARD,GUAYAMA,GUAYAMA,PR,784,17.948504,-66.154155,325412,METHANOL,67561,YES,TRI,NO,NO,R,Pounds,9,336,0,345
